Event ID,Event Date,Brief Description,What happened,Event Location,Latitude,Longitude,NZ Region,Where Happened,Sector,Number of Injured Persons,Vessel Type,Safety System,Country Flag,Gross Tonnage,Length Overall,Year of Build
EVT-1878,17/04/2020,"Ship safety standards were not met. All 4 cranes failed survey, the gangway was not safely rigged. Trip hazard were everywhere across the ship .",Lifting/Cargo gear failure,Jellicoe Wharf - Port of Auckland ,-36.841332,174.779525,Auckland,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,21532,179.96,2015
EVT-1880,17/04/2020,"While attaching a new anchor wire to the anchor winch, the wire became loose on the drum and caught crew member's finger.",Injury,Napier Port,-39.471837,176.918898,Hawke's Bay,At berth,Domestic Commercial,1,Line fishing vessel,MOSS,New Zealand,45.27,15.85,1966
EVT-1881,17/04/2020,"When moving wire across deck with crane, the wire hooked on obstruction and became tight. The wire released from the obstruction and hit crew member in the right ankle",Injury,Auckland Port,-36.840696,174.782669,Auckland,At berth,International Commercial,1,Bulk carrier,ISM,Hong Kong,21532,179.96,2015
EVT-1879,19/04/2020,Pilot ladder not up to standards. The third to last rubber step was cracked.,Pilot Ladder Standards,Auckland Harbour,-36.844041,174.782959,Auckland,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,21532,179.96,2015
EVT-1885,22/04/2020,Ammonia released into vessels factory when pipework feeding the plate freezer was accidentally dislodged. The factory was evacuated and the leak was promptly isolated and made safe by the vessel engineering department. ,Chemical or harmful substance spill,Southern Ocean ,-49.08333333,166.55,NULL,Offshore,Domestic Commercial,0,Trawler,MOSS,New Zealand,1899,64,1992
EVT-1883,23/04/2020,"Machinery failure occurred, the air rapture disk was broken causing constant air leaking. This resulted in the main air reservoir tank pressure to drop. ",Propulsion failure,Auckland Port,-36.839579,174.783572,Auckland,At berth,International Commercial,0,Tanker,ISM,Thailand,6106,104.9,2012
EVT-1886,23/04/2020,"Vessel hit the beacon light with the stabilizer arm and broke the light off its perch. No damage occurred to the vessel or to the pylon, the light was knocked into the water but was retrieved. ",Contact,Port Chalmers,-45.812071,170.626722,Otago,At berth,Domestic Commercial,0,Other fishing vessel,MOSS,New Zealand,30.74,13.38,1977
EVT-1891,23/04/2020,"During unloading, a stack of bins were being lifted out of the fish room and one of the handles on the bottom bin broke off and they tipped over. The bins got restacked and they carried on unloading. No one sustained injuries.",Equipment failure,Tauranga Wharf ,-37.66574,176.174535,Bay of Plenty,At berth,Domestic Commercial,0,Trawler,MOSS,New Zealand,76,18.14,1972
EVT-1887,25/04/2020,"A fuel oil leak spurt out on the main engine fuel oil main high pressure pipe. The engine was temporarily stopped, but the leak could not be controlled. They then left the main engine running until vessel safely anchored, the leak was repaired easily",Oil Spill,Auckland Harbour,-36.83388889,174.7688889,Auckland,In harbour,International Commercial,0,Vehicle carrier,ISM,Panama,60401,199.99,2006
EVT-1889,25/04/2020,Vessel came into contact with berth No.3 during berthing operations. The causes were communication not effective as should have been with Master and officer. This lead to a delayed response to bring the vessel ahead at a time when wind was a factor.,Contact,Napier Port,-39.475199,176.919205,Hawke's Bay,At berth,International Commercial,0,General cargo/multi-purpose ship,ISM,Cook Islands,1185,67.35,1988
EVT-1890,28/04/2020,"While manoeuvring the crane, a bracket broke causing a small leak of hydraulic oil. A few splashes went into the ocean, but were not visible after a couple of minutes. Crane was placed across deck and leak contained and cleaned up. Hose was replaced ",Oil Spill,Queens Wharf,-41.283526,174.779287,Wellington,At berth,International Commercial,0,Research vessel,ISM,New Zealand,2291,70,1991
EVT-1888,29/04/2020,"Pilot ladder not up to standards - The vessel had an almost 8 metre climb to the deck, and the ladder was held in place by shackles. Thimble eye end of ladder was not secured.",Pilot Ladder Standards,Bluff,-46.590193,168.334331,Southland,At berth,International Commercial,0,Bulk carrier,ISM,Panama,20763,179.9,2009
EVT-1919,29/04/2020,"While the vessel was hauling the bag/cod end on board, the strop that was used broke at the hook and sent the cod end back over the stern ramp until the small haul winch took hold. This nearly hit crewmembers, but no injuries were sustained.",Near miss/close quarters,South Pacific Ocean,-44.19626,174.169004,NULL,Offshore,Domestic Commercial,0,Trawler,MOSS,New Zealand,871,58.93,1985
EVT-1892,1/05/2020,Fatal medical event during a commercial operation.,Medical Event,Tauranga Wharf,-37.660892,176.180659,Bay of Plenty,At berth,International Commercial,0,Container ship,ISM,Bahamas,11443,155.27,2000
EVT-1951,1/05/2020,Someone had been seen paddling a kayak out at sea. Alerts were then received from a PLB. A local boat operator had gone to the area and located the person who had fallen from their kayak after trying to play a large fish.,Person Overboard,At sea North of Coromandel,-36.718167,175.809423,Waikato,Inshore,Recreational,0,Sea Kayak,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-1894,3/05/2020,"Fire alarm sounded, and smoke was coming from the exhaust. The port main engine got shut down. The exhaust was found to have a leak and it would take 2hrs to fix. Vessel carried on slowly to berth, temporary repairs led to starting port engine again ",Propulsion failure,"Cook Strait, South of Sinclair Head ",-41.3808,174.7162,Wellington,Inshore,International Commercial,0,Ro-Ro Passenger ship,ISM,New Zealand,13906,124.9,2004
EVT-1893,4/05/2020,Pilot ladder was not up to standard. The ladder platform was not secured.,Pilot Ladder Standards,Lyttelton Port,-43.606361,172.720857,Canterbury,At berth,International Commercial,0,Container ship,ISM,Liberia,40855,228,2013
EVT-1895,4/05/2020,"While sailing the auxiliary generator shut down, this led to loss of steering for several minutes. Once restarted, it was discovered that is was a push in fuse that had dislodged. Vessel carried on with their trip. ",Steering gear failure,Greymouth Bar ,-42.49102,171.171423,West Coast,River/harbour bar,Domestic Commercial,0,Line fishing vessel,MOSS,New Zealand,NULL,25.4,1998
EVT-1896,5/05/2020,A jiffy moved and caused a stevedores finger to get pinched against a cage. The finger was broken and they were taken to hospital for treatment. ,Injury,Port of Tauranga,-37.641982,176.180659,Bay of Plenty,At berth,International Commercial,1,Refrigerated cargo ship,ISM,Bahamas,10519,151.99,1997
EVT-1897,10/05/2020,"Pilot ladder was not up to standards. The pilot ladder was shackled to underside of platform. No ladder above the platform, just two ropes shackled to an extension frame above the platform. Master was made aware this is not compliant. ",Pilot Ladder Standards,Lyttelton Port,-43.606737,172.719456,Canterbury,At berth,International Commercial,0,Container ship,ISM,Liberia,40741,258.91,2009
EVT-1934,10/05/2020,Fatal recreational boating accident.,Capsize,"Petone Beach, Wellington",-41.228642,174.872546,Wellington,In harbour,Recreational,0,Dinghy,Pleasure - No System,New Zealand,NULL,2,NULL
EVT-1898,11/05/2020,Pilot ladder not up to standards. The two magnets securing the ladder's side ropes to the hull came away and the ladder swung outboard. This was due to the magnets not being activated.,Pilot Ladder Standards,Lyttelton Port,-43.606023,172.720113,Canterbury,At berth,International Commercial,0,Container ship,ISM,Singapore,44854,266.65,2012
EVT-1899,11/05/2020,"A crew member came down with heart attack symptoms. They were evacuated from the vessel by helicopter. Crew member was conscious, they had tingling in fingers, pain in the shoulder and was nauseous. ",Medical Event,Queen Charlotte Sound ,-41.070711,174.331951,Marlborough,Inshore,Domestic Commercial,1,Aquaculture vessel,MOSS,New Zealand,84,26.6,2003
EVT-1902,12/05/2020,Crew member was removing the hinge pin on the fish pound door half deck. They were levering the pin in its retaining slot with a pinch bar when a piece of steel fractured from the pin and hit them in the left eye. This required surgical removal.,Injury,Port Nelson,-41.259446,173.273688,Nelson,At berth,Domestic Commercial,1,Trawler,MOSS,New Zealand,4706,81.75,2018
EVT-1918,12/05/2020,Crew member was cleaning a fish and it slipped from their hand and landed on their left foot. A spike was lodged in their foot which had to be removed once they returned to port. ,Injury,"At Sea, Chatham Islands",-43.707594,-178.087013,NULL,Coastal,Domestic Commercial,1,Other fishing vessel,MOSS,New Zealand,NULL,22.5,1972
EVT-1901,13/05/2020,Pilot ladder not up to standards. The tripping line created a possible trip hazard. ,Pilot Ladder Standards,Tauranga Port,-37.662185,176.176576,Bay of Plenty,At berth,International Commercial,0,Tanker,ISM,Marshall Islands,29806,183.01,2015
EVT-1903,13/05/2020,"Pilot ladder not up to standards. The ladder was secured with shackles, and a tripping line on bottom of ladder. Also the man ropes were less than 28mm. ",Pilot Ladder Standards,Wellington Harbour,-41.281925,174.786532,Wellington,At berth,International Commercial,0,Bulk carrier,ISM,Marshall Islands,22402,179.9,2009
EVT-1916,13/05/2020,"The gear box broke shaft so vessel was un able to drive, vessel got a tow. ",Equipment failure,Taiaroa Heads,-45.77763,170.725703,Otago,Inshore,Domestic Commercial,0,Other fishing vessel,MOSS,New Zealand,NULL,14.02,1983
EVT-1905,14/05/2020,"When readying for departure, crew member was caught between top and bottom sections of telescopic accommodation ladder when stowing for sea, resulting in major crushing injuries to both lower legs. First aid was given, and an ambulance was called.",Injury,Marsden Point ,-35.832056,174.48627,Northland,At berth,International Commercial,1,General cargo/multi-purpose ship,ISM,Singapore,25483,199,2014
EVT-1935,14/05/2020,"An unlit 5m runabout was spotted in darkness at close quarters on a collision course, cutting across the vessels starboard bow from an oblique angle. Vessel came to a controlled stop, and avoided the collision.",Near miss/close quarters,Between Bean Rock and No.18 Buoy,-36.841957,174.820797,Auckland,Inshore,Domestic Commercial,0,Patrol boat,MOSS,New Zealand,NULL,139.95,2014
EVT-1908,15/05/2020,Vessel had a wandering gyro. After swinging off the berth and out bound the gyro wandered to 4 degrees high.,Equipment failure,Lyttelton Port,-43.60561,172.718625,Canterbury,At berth,International Commercial,0,Container ship,ISM,Singapore,41678,266,2013
EVT-1911,15/05/2020,Boat rolled over while entering the bar. One passenger was thrown out from the boat and two were stuck inside the cabin. Everyone managed to make it to shore safely. ,Capsize,"Karitane Bar, East Coast",-45.639013,170.657854,Otago,River/harbour bar,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,5.85,NULL
EVT-1913,15/05/2020,"Due to wind, vessel drifted down onto another vessel making contact between anchor of D1 and port aft sliding door on the other vessel. Neither vessel had passengers on board at the time. ",Contact,West Harbour Marina ,-36.813028,174.644143,Auckland,Marina/boat ramp,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,NULL,20,1993
EVT-1915,15/05/2020,"The oil containment boom came free, this was unsighted by crew and became entangled in the propeller. Vessel berthed and divers removed the plastic boom. No damage or injuries were sustained. ",Propeller entangled,Auckland Habrour,-36.833354,174.766483,Auckland,In harbour,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,324,34,2014
EVT-1907,16/05/2020,A child running aboard vessel misplacing their footing and fell into the small gap between the ferry and pontoon.,Injury,"Ferry Landing Wharf, Whitianga ",-36.832674,175.708953,Waikato,At berth,Domestic Commercial,1,Passenger Ferry,MOSS,New Zealand,NULL,11.95,2015
EVT-1909,16/05/2020,Pilot ladder was not up to standards. The steps at the lower part of the starboard ladder were not horizontal. The ropes passed over what appeared to be a sharp edge at the fish-plate. ,Pilot Ladder Standards,Wellington Harbour ,-41.28132,174.790972,Wellington,At berth,International Commercial,0,Container ship,ISM,Malta,52467,255.4,2013
EVT-1952,16/05/2020,A vessel sunk with five people on board. A rescue helicopter from was tasked and safely uplifted the party from the remote area and took them to Milford Sound. There were no injuries.,Person Overboard,"Poison Bay, Fiordland",-44.679193,167.662247,Southland,Inshore,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,7,NULL
EVT-1954,16/05/2020,"A vessel dropped long lines close to another vessel. They came back to retrieve the lines, hitting the boat on the bow. The skipper pulled their lines through the other lines, tangling them. They cut the line and took the lure.",Contact,Akaroa Head,-43.97388889,173.2747222,Canterbury,Inshore,Domestic Commercial,0,Cray/Rock Lobster vessel,MOSS,New Zealand,11,10.07,1996
EVT-1912,17/05/2020,Deckhand severed top section of the index finger on their left hand while cutting bait. Crew member went to hospital for treatment. ,Injury,"Pencarrow, Wellington",-41.353602,174.851743,Wellington,Inshore,Domestic Commercial,1,Cray/Rock Lobster vessel,MOSS,New Zealand,NULL,11.1,1998
EVT-1914,17/05/2020,While lifting the trawl door higher to get to the bottom chain. The door swung onboard and hit crew member unexpectedly. No injuries were sustained. ,Injury,Offshore Canterbury,-43.16138889,176.0163889,NULL,Offshore,Domestic Commercial,1,Other fishing vessel,MOSS,New Zealand,317,32.7,1994
EVT-2331,17/05/2020,"Vessel was leaving the marina entrance when it was stopped due to hitting the sea floor. There was an uncharted sandbar, and the vessel lost steering. Vessel used their port motor to drift away and restarted the starboard engine. ",Grounding,"Mana Marina, Porirua",-41.100842,174.86784,Wellington,Marina/boat ramp,Recreational,0,Pleasure Launch,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-1921,19/05/2020,During the discharge of frozen fish from the fishmeal hold a pallet load of cartons was being lifted. A board fell and hit the hand of the stevedore.,Injury,X/Y Berth Fryatt Street Dunedin ,-45.878686,170.51049,Otago,At berth,Domestic Commercial,1,Trawler,MOSS,New Zealand,1899,64.05,1991
EVT-1917,20/05/2020,Pilot ladder not up to standards. The shackles on the side ropes under the top rung were not fastened on the side rope eyes. ,Pilot Ladder Standards,Marlborough Sounds (Incl Tory Ch),-41.283335,174.00459,Marlborough,At berth,International Commercial,0,Bulk carrier,ISM,Singapore,20969,179.9,2011
EVT-1920,20/05/2020,An employee was guiding the crane operator to land the container and during the process their arm was caught in-between the moving container and adjacent steel guide beam. The injured person was taken to hospital for treatment and work was stopped.,Injury,Lyttelton Port,-43.605096,172.718452,Canterbury,At berth,International Commercial,1,Container ship,ISM,Singapore,73899,286.45,2009
EVT-1933,20/05/2020,"When exiting, cabin crew member banged their left knee. Later in the day, pain was felt in their left hip. Crewmember required medical attention, and was declared unfit for duty for three days.",Injury,Little Barrier Island,-36.25091829,174.9950409,Auckland,Inshore,Domestic Commercial,1,Bulk carrier,ISM,New Zealand,8745,124.7,2016
EVT-1968,20/05/2020,Skipper stopped hauling immediately of the nets coming in as a crewmember had a vape hung around their neck. This was outside their clothing and got caught in the mesh. No injury was sustained. ,Unsafe Operation or Act,South Pacific Ocean,-43.01666667,176.6,NULL,Offshore,Domestic Commercial,0,Trawler,MOSS,New Zealand,174,24.95,1990
EVT-1932,21/05/2020,A fire broke out in the vessels store room while the vessel was at sea. The observer and crew evacuated the factory and the fire was put out. Processing in the factory resumed shortly afterwards. ,Fire,South East Coast,-44.448473,175.340967,NULL,Offshore,Domestic Commercial,0,Trawler,MOSS,New Zealand,788,58.2,1983
EVT-1953,21/05/2020,"Maritime radio received a distressed call, after a vessel with one person on board lost steering. A vessel nearby responded and assisted the vessel. The coast guard then took over the assist, bringing the vessel back to berth.",Steering gear failure,"Bream Head, Marsden Point",-35.849746,174.583236,Northland,Inshore,Recreational,0,Yacht,Pleasure - No System,New Zealand,NULL,18.2,NULL
EVT-1922,22/05/2020,"Main mast and boom collapsed while fishing. After investigation, weld failure was found on boom.",Lifting/Cargo gear failure,Heading to Nelson,-40.191667,174.223333,NULL,Coastal,Domestic Commercial,0,Purse seiner vessel,MOSS,New Zealand,312,36.02,1980
EVT-1927,22/05/2020,The jet boat became beached in shallow water. The river channel was too shallow and the vessel became grounded. There were no injuries or damage. Work colleagues were called in for assistance to shift the boat. ,Grounding,Manawatu River,-40.43743612,175.4372063,Manawatu-Wanganui,River,Domestic Commercial,0,Research vessel,MOSS,New Zealand,NULL,4.5,1992
EVT-1923,23/05/2020,"Pilot ladder not up to standards - The ladder was patched up and the ropes were not tight to the steps, they were worn and stretched. Steps are tilting when standing on.",Pilot Ladder Standards,Tauranga Wharf,-37.660569,176.180863,Bay of Plenty,At berth,International Commercial,0,Bulk carrier,ISM,Portugal,21538,179.96,2015
EVT-1929,23/05/2020,"A main engine alarm triggered a slow down, which eventually required stopping of engine to reset system. Tug assistance was requested as vessel speed dropped to 4 knts in a 2.5knt flood tide. Once engine reset, vessel proceeded out without any issues",Propulsion failure,"Tanea outbound, Port of Tauranga",-37.634418,176.165888,Bay of Plenty,In harbour,International Commercial,0,Container ship,ISM,Singapore,41483,254.07,2007
EVT-1925,24/05/2020,"As the heave was lifted over the ships side, it brushed against the bulwarks as it came over, which caused the heave to tilt slightly and several logs started to slide out. The scene was frozen after the driver lowered the load to clear the logs.",Log Handling,"Beach Street Wharf, Port Chalmers",-45.813981,170.624975,Otago,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,31781,189.99,2015
EVT-1926,24/05/2020,Vessel was steaming towards Elaine Bay and an approaching vessel failed to give way and pass port to port. The vessel kept turning to show the vessel their port light but had to reduce speed and pass the vessel starboard to starboard instead.,Near miss/close quarters,"Waitata Reach, off Waitata Bay, Pelorus Sound ",-41.012709,173.921424,Marlborough,Inshore,Domestic Commercial,0,Aquaculture vessel,MOSS,New Zealand,84,26.6,2003
EVT-1928,24/05/2020,Vessel missed the channel and grounded on the sand bar. The trailer was used to get the vessel from the beach. No damage occurred.,Grounding,Opotiki river entrance,-38.004734,177.292589,Bay of Plenty,River,Domestic Commercial,0,Workboat,MOSS,New Zealand,NULL,8.5,1998
EVT-2029,24/05/2020,"Two people were injured after a boat capsized. Emergency services were called, and ambulance officers treated the two individuals.  ",Capsize,Foxton Beach,-40.522619,175.183384,Manawatu-Wanganui,Inshore,Recreational,2,Dinghy,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-1924,25/05/2020,Outbound vessel lost engines due to burst hydraulic lube oil line on main engine. Vessel dropped anchor and ordered tugs for assistance. Vessel took 30 minutes to fix the problem and then proceeded on their way.,Propulsion failure,Tauranga Wharf,-37.65766,176.173616,Bay of Plenty,At berth,International Commercial,0,Bulk carrier,ISM,Hong Kong,24785,179.99,2016
EVT-1931,26/05/2020,Crew member slipped on deck and twisted their ankle. ,Injury,"Berth 3, Mount Maunganui",-37.641951,176.181486,Bay of Plenty,At berth,International Commercial,1,Container ship,ISM,Hong Kong,10352,158.06,1990
EVT-1936,27/05/2020,"While berthing vessel with pilot and tug, the vessel made slight contact with another vessel which was already berthed at the wharf.",Contact,"Sealord Wharf, Port Nelson",-41.257415,173.277935,Nelson,At berth,Domestic Commercial,0,Trawler,MOSS,New Zealand,1226,45.2,1997
EVT-1936,27/05/2020,"While berthing vessel with pilot and tug, the vessel made slight contact with another vessel which was already berthed at the wharf.",Contact,"Sealord Wharf, Port Nelson",-41.257415,173.277935,Nelson,At berth,Domestic Commercial,0,Trawler,MOSS,New Zealand,372,36.6,1989
EVT-2030,27/05/2020,Six people were rescued after their waka was submerged by a wave. The passengers were in the water for approx. 30 minutes and were treated at hospital.,Capsize,Whanganui River,-39.401817,175.052779,Manawatu-Wanganui,River,Recreational,6,Waka,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-2031,27/05/2020,An person who made an overnight trip across Cook Strait in a motorised dinghy had to be rescued after breaking down off the Mana Coast.,Person Overboard,Cook Strait,-41.098767,174.611142,Wellington,Inshore,Recreational,0,Dinghy,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-1937,29/05/2020,Pilot ladder not up to standards. Vessel had a non-compliant trap door arrangement with the ladder attached to the underside of the platform and not to ships structure.,Pilot Ladder Standards,Napier Port,-39.475961,176.920464,Hawke's Bay,At berth,International Commercial,0,Container ship,ISM,Liberia,40741,258.91,2009
EVT-2052,29/05/2020,"Crew member was pulling a pot off the freezer hatch, causing the next pot to unbalance, fall and strike them in the head, resulting in a 10mm cut. First aid was administered by the skipper and the crew member was monitored for the rest of the trip. ",Injury,Offshore Canterbury,-43.976667,177.620278,NULL,Offshore,Domestic Commercial,1,Trawler,MOSS,New Zealand,223,29,1979
EVT-1981,30/05/2020,"Vessel was waiting to go to the fuel dock and didn't pay attention to their position, hitting the side of vessel at berth, causing damage. This was witnessed by the vessel on the fuel dock and they contacted the marina to alert them of the incident.",Collision,"Gulf Harbour Marina, End of O Pier",-36.626614,174.785872,Auckland,Marina/boat ramp,Domestic Commercial,0,Charter passenger vessel,SSM,New Zealand,4,11,NULL
EVT-1981,30/05/2020,"Vessel was waiting to go to the fuel dock and didn't pay attention to their position, hitting the side of vessel at berth, causing damage. This was witnessed by the vessel on the fuel dock and they contacted the marina to alert them of the incident.",Collision,"Gulf Harbour Marina, End of O Pier",-36.626614,174.785872,Auckland,Marina/boat ramp,Domestic Commercial,0,Charter Yacht,Pleasure - No System,Cayman Islands,209,40.85,2002
EVT-1938,1/06/2020,"The crew were tidying up on board and the crewmate had the fingers of their right hand caught in the net rope, causing injury to three fingers.",Injury,"Carnley Harbour, Auckland Islands",-50.810617,166.039657,NULL,In harbour,Domestic Commercial,1,Trawler,MOSS,New Zealand,222,24.9,1986
EVT-1939,1/06/2020,"Boat took on some water as the stabilizer arm picked up an abandoned mooring chain and wind tipped the boat on it's side. The next day, a pump was used to pump out the water that got in, vessel was dragged to a sand bar to remove the mooring block. ",Flooded,Whangamata Harbour,-37.204493,175.879474,Waikato,In harbour,Domestic Commercial,0,Line fishing vessel,MOSS,New Zealand,NULL,10.4,1971
EVT-1945,1/06/2020,"When rounding East Cape the vessel rolled heavily to an estimated 4 - 5m swell set. Crew members lost their balance and fell against bulkheads/deck in their various locations. Four members had minor bruising, and one had a minor abrasion.",Extreme vessel movement,East Cape ,-37.58333333,178.55,Gisborne,Inshore,International Commercial,4,Bulk carrier,ISM,New Zealand,8745,124.7,2016
EVT-1940,4/06/2020,Recreational vessel sunk after operator was unable to pump the bilges.,Foundered,"Salisbury Wharf, Mount Maunganui",-37.64035189,176.18128,Bay of Plenty,At berth,Recreational,1,Power Boat,Pleasure - No System,New Zealand,NULL,9,NULL
EVT-1942,4/06/2020,"A pile driving barge started to sink during driving operations. Emergency towing operations commenced to remove the barge however, when almost complete, the barge sunk. ",Foundered,"Port Nelson, Akersten Street ",-41.25612971,173.2727194,Nelson,Marina/boat ramp,Domestic Commercial,0,Barge,Commercial - No System,New Zealand,NULL,15,NULL
EVT-1946,5/06/2020,An electrical cable on the main engine starter motor shorted out against the starter motor body causing an electrical fire. The crew responded quickly and a replacement part is ordered.,Fire,Port Napier,-39.472265,176.91737,Hawke's Bay,In harbour,Domestic Commercial,0,Line fishing vessel,MOSS,New Zealand,NULL,20.7,1998
EVT-1955,5/06/2020,"Rescue vessel was towing a vessel, with 3 passengers. Vessel got stuck on the bar due to slow towing speed. The towed vessel was pulled to shore. Boat occupants along with crew, managed to push the other boat into deeper water, and crossed the bar. ",Grounding,Kaituna Bar,-37.789783,176.37006,Bay of Plenty,River/harbour bar,Domestic Commercial,0,Workboat,MOSS,New Zealand,NULL,11.74,2007
EVT-1944,6/06/2020,Wind picked up early and the vessel was blown into the shoreline and engine dismounted. Occupants safely disembarked. Tug boat lost propulsion when towing the vessel back to Marina. Rescue vessel then towed both boats back. No damage sustained. ,Propulsion failure,"Lake Taupo, Marina channel. ",-38.699445,176.071902,Waikato,Lake,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,NULL,2.5,2019
EVT-1944,6/06/2020,Wind picked up early and the vessel was blown into the shoreline and engine dismounted. Occupants safely disembarked. Tug boat lost propulsion when towing the vessel back to Marina. Rescue vessel then towed both boats back. No damage sustained. ,Propulsion failure,"Lake Taupo, Marina channel. ",-38.699445,176.071902,Waikato,Lake,Domestic Commercial,0,Personal Water Craft,SOP,New Zealand,NULL,3.37,NULL
EVT-1962,6/06/2020,"Vessel had motor troubles, so the master put anchor down, the anchor rope got caught in the propeller. The boat turned and a wave tipped the boat. All 3 passengers swam to Mana Island and managed to safely wait till they got help. ",Person Overboard,Mana Island ,-41.088626,174.789448,Wellington,Inshore,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-1970,6/06/2020,Vessel was exceeding 5 knots within 200 metres of shore and 50 metres of other vessels. This resulted in a large wake destabilising other vessels in the vicinity,Speeding,"Kaiwaka, upper Whangarei harbor ",-35.771795,174.355186,Northland,Inshore,Recreational,0,Jetboat,Pleasure - No System,New Zealand,NULL,10,NULL
EVT-1950,7/06/2020,"The master misjudged the tide and made light contact with the bowsprit of a moored yacht on the port side. No damage was sustained to the vessel, however, there was minor damage to the bow of the yacht. ",Contact,Hobsonville Wharf,-36.8425811,174.7665436,Auckland,At berth,International Commercial,0,Passenger Ferry,MOSS,New Zealand,NULL,17.1,1994
EVT-1950,7/06/2020,"The master misjudged the tide and made light contact with the bowsprit of a moored yacht on the port side. No damage was sustained to the vessel, however, there was minor damage to the bow of the yacht. ",Contact,Hobsonville Wharf,-36.8425811,174.7665436,Auckland,At berth,International Commercial,0,Yacht,Pleasure - No System,New Zealand,20,12.55,1990
EVT-2032,7/06/2020,"Vessel capsized during a race, two other vessels immediately went to check on the three crew. An assisting boat transferred the crew back to shore.",Person Overboard,Tauranga harbour,-37.610723,176.025869,Bay of Plenty,In harbour,Recreational,1,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-1947,8/06/2020,Vessels engine failed and stopped just after starting turn. Engine restarted a few minutes later when steady on no.2 reach. Remainder of passage continued without any further problems with crew monitoring the main engine control system regularly.,Propulsion failure,Abeam Stoney Point/Tanea ,-37.639288,176.180803,Bay of Plenty,In harbour,International Commercial,0,Bulk carrier,ISM,Hong Kong,21538,179.96,2015
EVT-1948,8/06/2020,"A burning smell came from the engine room, once the engine room hatch was open, a small fire on port engine behind starter motor was visible. Crew tried to put out with a rag but couldn't, a fire extinguisher was used to put it out. ",Fire,Motukopake Island,-35.171106,174.337274,Northland,Inshore,Domestic Commercial,0,Aquaculture vessel,MOSS,New Zealand,45,24.3,1990
EVT-1949,9/06/2020,"Pilot ladder not up to standards. The Pilot ladder was secured on deck, with the ladder between the ship's hull and the platform. The ladder combination has been amended to secure the pilot ladder on deck. ",Pilot Ladder Standards,Lyttelton Port,-43.605735,172.721532,Canterbury,At berth,International Commercial,0,Cargo ship,ISM,Liberia,43071,267.15,2008
EVT-1957,9/06/2020,"The starter motor on the port engine caught on fire. This was put out with an extinguisher. Four crew were onboard, no one was injured and vessel headed back to port for repairs.",Fire, coromandel,-36.74162,175.472473,Waikato,Inshore,Domestic Commercial,0,Aquaculture vessel,MOSS,New Zealand,45,24.3,1990
EVT-1966,9/06/2020,A log on top slipped out of heave while crane operator was lifting heave of logs into Hold#2 of the vessel. The load of logs were wet and slippery and the logs were not evenly flushed up on the back of the truck. ,Log Handling,"Berth #2E, Lyttelton Port",-43.604106,172.716653,Canterbury,At berth,International Commercial,0,Bulk carrier,ISM,Marshall Islands,16991,NULL,2013
EVT-1956,10/06/2020,Vessel was in the centre of the channel with a fishing boat on course to cross from the port side. The boat continued on the apparent collision course so five short blasts were sounded. The boat passed close down the starboard side of the tanker.,Near miss/close quarters,"Hamilton Bay, Off Port Chalmers",-45.79840889,170.6496477,Otago,In harbour,Domestic Commercial,0,Chemical tanker,ISM,Bahamas,30020,183,2006
EVT-1956,10/06/2020,Vessel was in the centre of the channel with a fishing boat on course to cross from the port side. The boat continued on the apparent collision course so five short blasts were sounded. The boat passed close down the starboard side of the tanker.,Near miss/close quarters,"Hamilton Bay, Off Port Chalmers",-45.79840889,170.6496477,Otago,In harbour,Domestic Commercial,0,Cray/Rock Lobster vessel,MOSS,New Zealand,NULL,10.25,2012
EVT-1976,10/06/2020,"Master was coming out of engine room and while climbing up ladder, their foot slipped off rung and they fell onto the metal hatch coaming, landing on their chest and fracturing two ribs.",Injury,Auckland Port ,-36.842286,174.780497,Auckland,At berth,Domestic Commercial,1,Passenger Ferry,MOSS,New Zealand,172,32,1999
EVT-1958,11/06/2020,Crew member shut the toilet door on their own finger. First aid was provided by vessel crew. The crew member was transferred ashore for medical treatment.,Injury,"Offshore Rangitata, Canterbury",-44.5,172.1,NULL,Coastal,Domestic Commercial,1,Trawler,MOSS,New Zealand,2487,67.4,1989
EVT-1959,12/06/2020,"Handle on crane 1, by the side window dropped off and fell onto stow. Handle fell off due to it being rusted through. No personnel were near where handle fell at the time.",Equipment failure,Port of Tauranga,-37.652892,176.181578,Bay of Plenty,At berth,International Commercial,0,Bulk carrier,ISM,Liberia,22852,177,2012
