"Date","Event","Categories","Cost ($m)","Inflation adjusted cost ($m)","More Info"
"1992 Mar 1","Auckland Tornado","","1.1","2.4","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1991 May 1","Albany Tornado","","1.5","3.2","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1991 Feb 18","Otago Floods","","1.6","3.5","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1990 Aug 8","Taranaki / Wanganui Floods","","1.8","4.0","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1988 Sep 1","Greymouth Floods","","13.4","33.3","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1988 Jul 25","Manawatu Floods","","2.5","6.2","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1988 May 1","Greymouth Floods","","3.2","8.0","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1988 Mar 8","Cyclone Bola","","37.0","93.6","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1987 Mar 1","Bay of Plenty Earthquake","","192.0","531.2","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1986 Mar 13","North Otago / South Canterbury Floods","","18.5","60.4","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1986 Jan 1","Auckland Floods","","0.4","1.3","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1986 Jan 1","Nelson Floods","","0.4","1.3","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1985 May 1","South Auckland","","2.9","10.5","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1985 Feb 1","Auckland Floods","","3.6","13.6","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1985 Jan 1","Thames / Coromandel / Te Aroha","","5.9","22.6","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1985 Jan 1","Gisborne Floods","","1.7","6.5","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1985 Jan 1","Wellington / Hutt Valley","","1.4","5.4","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1985 Jan 1","Hawkes Bay / Wairarapa","","0.9","3.4","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1985 Jan 1","Chatham Islands","","0.8","3.1","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1984 Jan 1","Invercargill / Southland Floods","","45.8","191.9","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1984 Jan 1","Greymouth Floods","","3.5","14.7","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1984 Jan 1","Auckland Floods","","1.8","7.5","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1983 Jan 1","Christchurch Storm","","3.5","15.2","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1983 Jan 1","Marlborough / Golden Bay Floods","","2.3","10.0","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1981 Apr 1","Thames / Coromandel / Paeroa Floods","","7.0","39.3","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1981 Mar 1","Keri Keri Floods","","2.0","11.3","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1980 Aug 1","Onehunga Tornado","","1.0","6.1","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1980 Jun 5","Taieri / Otago / New Plymouth Floods","","8.0","50.3","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1980 Jan 17","South Island Summer Floods","","2.3","15.4","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1978 Oct 16","Otago Floods","","10.3","82.4","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1976 Dec 1","Wellington / Hutt Valley Floods","","6.2","62.2","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1975 Aug 1","Canterbury Storms","","7.0","85.8","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1968 Apr 10","Loss of Wahine","","10.0","225.5","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
"1968 Apr 10","Wahine storm","","3.5","78.9","<a class=""master_detail_column_btn""><button class=""btn btn-more"">i</button></a>"
